seed,station_local,time_index,truth,q05,q50,q95
43,35,850,21.700000762939453,22.52654457092285,22.52654457092285,22.52654457092285
43,35,851,20.899999618530273,22.476652145385742,22.476652145385742,22.476652145385742
43,35,852,27.600000381469727,22.42719268798828,22.42719268798828,22.42719268798828
43,35,853,32.400001525878906,22.3786678314209,22.3786678314209,22.3786678314209
43,35,854,34.599998474121094,22.332258224487305,22.332258224487305,22.332258224487305
43,35,855,28.600000381469727,22.28559684753418,22.28559684753418,22.28559684753418
43,35,856,25.600000381469727,22.240236282348633,22.240236282348633,22.240236282348633
43,35,857,27.200000762939453,22.195484161376953,22.195484161376953,22.195484161376953
43,35,858,21.200000762939453,22.15135383605957,22.15135383605957,22.15135383605957
43,35,859,23.299999237060547,22.108070373535156,22.108070373535156,22.108070373535156
43,35,860,24.299999237060547,22.06438446044922,22.06438446044922,22.06438446044922
43,35,861,27.0,22.020538330078125,22.020538330078125,22.020538330078125
43,35,862,21.5,21.977691650390625,21.977691650390625,21.977691650390625
43,35,863,21.100000381469727,21.935388565063477,21.935388565063477,21.935388565063477
43,35,864,20.200000762939453,21.897096633911133,21.897096633911133,21.897096633911133
43,35,865,20.299999237060547,21.862533569335938,21.862533569335938,21.862533569335938
43,35,866,18.0,21.828840255737305,21.828840255737305,21.828840255737305
43,35,867,17.600000381469727,21.794662475585938,21.794662475585938,21.794662475585938
43,35,868,20.0,21.76236343383789,21.76236343383789,21.76236343383789
43,35,869,22.299999237060547,21.733722686767578,21.733722686767578,21.733722686767578
43,35,870,25.0,21.706602096557617,21.706602096557617,21.706602096557617
43,35,871,24.100000381469727,21.680110931396484,21.680110931396484,21.680110931396484
43,35,872,22.399999618530273,21.654260635375977,21.654260635375977,21.654260635375977
43,35,873,21.0,21.629056930541992,21.629056930541992,21.629056930541992
43,35,874,17.700000762939453,21.604507446289062,21.604507446289062,21.604507446289062
43,35,875,17.200000762939453,21.58061981201172,21.58061981201172,21.58061981201172
43,35,876,19.899999618530273,21.55739974975586,21.55739974975586,21.55739974975586
43,35,877,23.100000381469727,21.534854888916016,21.534854888916016,21.534854888916016
43,35,878,26.799999237060547,21.51263427734375,21.51263427734375,21.51263427734375
43,35,879,24.299999237060547,21.490707397460938,21.490707397460938,21.490707397460938
43,35,880,22.0,21.469348907470703,21.469348907470703,21.469348907470703
43,35,881,19.0,21.44916534423828,21.44916534423828,21.44916534423828
43,35,882,16.200000762939453,21.42998504638672,21.42998504638672,21.42998504638672
43,35,883,15.800000190734863,21.411457061767578,21.411457061767578,21.411457061767578
43,35,884,26.200000762939453,21.393585205078125,21.393585205078125,21.393585205078125
43,35,885,30.799999237060547,21.37791633605957,21.37791633605957,21.37791633605957
43,35,886,32.29999923706055,21.360050201416016,21.360050201416016,21.360050201416016
43,35,887,27.899999618530273,21.342884063720703,21.342884063720703,21.342884063720703
43,35,888,24.200000762939453,21.330265045166016,21.330265045166016,21.330265045166016
43,35,889,19.700000762939453,21.319644927978516,21.319644927978516,21.319644927978516
43,35,890,15.5,21.309690475463867,21.309690475463867,21.309690475463867
43,35,891,14.5,21.300405502319336,21.300405502319336,21.300405502319336
43,35,892,25.899999618530273,21.29237937927246,21.29237937927246,21.29237937927246
43,35,893,32.400001525878906,21.285110473632812,21.285110473632812,21.285110473632812
43,35,894,33.0,21.278825759887695,21.278825759887695,21.278825759887695
43,35,895,30.100000381469727,21.274436950683594,21.274436950683594,21.274436950683594
43,35,896,25.5,21.269750595092773,21.269750595092773,21.269750595092773
43,35,897,22.200000762939453,21.26445960998535,21.26445960998535,21.26445960998535
43,35,898,20.200000762939453,21.260028839111328,21.260028839111328,21.260028839111328
43,35,899,17.100000381469727,21.256223678588867,21.256223678588867,21.256223678588867
43,35,900,26.799999237060547,21.25273323059082,21.25273323059082,21.25273323059082
43,35,901,32.70000076293945,21.250211715698242,21.250211715698242,21.250211715698242
43,35,902,34.099998474121094,21.2486629486084,21.2486629486084,21.2486629486084
