seed,target_index,lead,time_index,truth,q05,q50,q95,squared_error,interval_width,covered
41,0,1,496,20.200000762939453,12.157742500305176,16.728546142578125,21.800342559814453,12.050997181228013,9.642600059509277,1.0
41,0,2,497,22.899999618530277,13.65688705444336,19.645919799804688,24.79376792907715,10.589035466637165,11.136880874633789,1.0
41,0,3,498,23.100000381469727,14.488533973693848,20.554946899414062,23.52864646911621,6.47729722652366,9.040112495422363,1.0
41,0,4,499,18.5,12.840863227844238,18.833473205566406,22.24319839477539,0.11120437883073464,9.402335166931152,1.0
41,0,5,500,13.800000190734863,11.12688446044922,17.261703491210938,20.715747833251957,11.983389740526945,9.588863372802736,1.0
41,1,1,496,10.600000381469728,6.18431282043457,11.325172424316406,16.312232971191406,0.5258744917264241,10.127920150756836,1.0
41,1,2,497,18.5,8.054986953735352,13.101889610290527,18.62543296813965,29.139595779489355,10.570446014404297,1.0
41,1,3,498,20.299999237060547,9.500411987304688,14.121541976928713,19.51138687133789,38.17333411527577,10.010974884033203,0.0
41,1,4,499,21.5,9.077747344970703,13.68202304840088,18.81895446777344,61.12076361573506,9.741207122802738,0.0
41,1,5,500,15.0,6.920686721801758,13.076208114624023,18.0185604095459,3.7009752182384545,11.09787368774414,1.0
41,2,1,496,18.299999237060547,15.864442825317385,23.5777587890625,27.82875061035156,27.854745888747857,11.964307785034174,1.0
41,2,2,497,23.600000381469727,16.99701690673828,25.412660598754883,29.918922424316406,3.28573706332827,12.921905517578125,1.0
41,2,3,498,26.299999237060547,16.847900390625,26.180665969848636,30.775108337402344,0.014240428663469236,13.927207946777344,1.0
41,2,4,499,27.299999237060547,16.396760940551758,25.400957107543945,30.439735412597656,3.606361009678949,14.042974472045898,1.0
41,2,5,500,25.700000762939453,15.451805114746094,23.64013290405273,28.256162643432617,4.243055596074569,12.804357528686523,1.0
41,3,1,496,13.600000381469728,8.174398422241211,15.209424018859863,20.467897415161133,2.5902444445900925,12.293498992919922,1.0
41,3,2,497,20.100000381469727,11.947100639343262,19.41263008117676,25.04697608947754,0.47247792972484115,13.099875450134277,1.0
41,3,3,498,23.5,13.143611907958984,20.371490478515625,25.818634033203125,9.787571826018393,12.67502212524414,1.0
41,3,4,499,24.600000381469727,11.318949699401855,18.129335403442383,22.790868759155277,41.869505257869605,11.471919059753422,0.0
41,3,5,500,14.699999809265137,7.190065383911133,16.035778045654297,20.27318000793457,1.784303496810935,13.083114624023438,1.0
41,4,1,496,17.100000381469727,11.182722091674805,16.94040298461914,21.39102935791016,0.025471329081483418,10.208307266235355,1.0
41,4,2,497,21.5,13.535340309143066,19.56563949584961,24.32056427001953,3.7417505600169534,10.785223960876465,1.0
41,4,3,498,23.299999237060547,13.708114624023438,20.058013916015625,24.26913070678711,10.510468821870745,10.561016082763672,1.0
41,4,4,499,22.0,11.987634658813477,17.690185546875,22.75151252746582,18.574500620365143,10.763877868652344,1.0
41,4,5,500,18.200000762939453,8.194934844970703,14.25636100769043,19.09746551513672,15.552294519180577,10.902530670166016,1.0
41,5,1,496,19.200000762939453,15.418408393859863,20.51006317138672,24.83682632446289,1.7162635140266502,9.418417930603027,1.0
