seed,station_local,time_index,truth,q05,q50,q95
41,2,850,11.300000190734863,20.724748611450195,25.570199966430664,30.79521369934082
41,2,851,16.100000381469727,21.278533935546875,25.496320724487305,31.637252807617188
41,2,852,22.799999237060547,21.492374420166016,25.643795013427734,32.07611846923828
41,2,853,24.799999237060547,21.712993621826172,25.49710464477539,32.2680549621582
41,2,854,23.0,21.334266662597656,24.765445709228516,30.975536346435547
41,2,855,15.399999618530273,21.5709285736084,24.84378433227539,31.899410247802734
41,2,856,12.600000381469727,21.40514373779297,24.925151824951172,31.17251968383789
41,2,857,12.300000190734863,20.702354431152344,24.81471824645996,30.43471336364746
41,2,858,12.899999618530273,20.726638793945312,24.662981033325195,30.050308227539062
41,2,859,16.399999618530273,21.708860397338867,25.15659523010254,30.237890243530273
41,2,860,22.600000381469727,21.588685989379883,25.02138328552246,30.66804313659668
41,2,861,25.299999237060547,21.54529571533203,24.96332359313965,31.117137908935547
41,2,862,23.399999618530273,21.601703643798828,24.774553298950195,31.22344207763672
41,2,863,15.199999809265137,21.304000854492188,24.862091064453125,30.631635665893555
41,2,864,13.899999618530273,20.70150375366211,24.99172592163086,30.383352279663086
41,2,865,13.699999809265137,20.597135543823242,24.96363067626953,29.93463897705078
41,2,866,13.899999618530273,20.329055786132812,24.790178298950195,30.11292266845703
41,2,867,19.899999618530273,21.612449645996094,25.157434463500977,30.30878257751465
41,2,868,25.399999618530273,21.746732711791992,25.48476219177246,31.56501007080078
41,2,869,26.299999237060547,21.831708908081055,25.896814346313477,32.40767288208008
41,2,870,19.700000762939453,21.922700881958008,25.801637649536133,32.27342224121094
41,2,871,17.0,21.629467010498047,25.75367546081543,32.453372955322266
41,2,872,15.5,20.488121032714844,25.00850486755371,31.391578674316406
41,2,873,13.600000381469727,19.530282974243164,24.267887115478516,29.761035919189453
41,2,874,13.100000381469727,19.405906677246094,24.078933715820312,29.101736068725586
41,2,875,17.299999237060547,19.55202293395996,23.99713706970215,29.493776321411133
41,2,876,25.200000762939453,19.851032257080078,24.53799819946289,30.161766052246094
41,2,877,26.899999618530273,19.819650650024414,24.601198196411133,30.70687484741211
41,2,878,24.5,18.95894432067871,23.988218307495117,30.111759185791016
41,2,879,17.0,19.053998947143555,24.005374908447266,30.557449340820312
41,2,880,14.5,18.4212646484375,23.879413604736328,30.236499786376953
41,2,881,13.100000381469727,17.801166534423828,23.850200653076172,30.100528717041016
41,2,882,13.100000381469727,18.212390899658203,24.013595581054688,29.509479522705078
41,2,883,17.700000762939453,19.546037673950195,24.567371368408203,30.101245880126953
41,2,884,26.0,19.96422576904297,24.50486183166504,30.037691116333008
41,2,885,27.0,19.903644561767578,25.08932113647461,31.09831428527832
41,2,886,24.399999618530273,20.093656539916992,24.742507934570312,30.721302032470703
41,2,887,19.0,20.347484588623047,25.13334846496582,30.990053176879883
41,2,888,18.200000762939453,19.95663833618164,25.27052879333496,30.213212966918945
41,2,889,17.600000381469727,19.101747512817383,25.398347854614258,29.70816421508789
41,2,890,17.700000762939453,18.969228744506836,25.412277221679688,30.097824096679688
41,2,891,21.299999237060547,19.53643226623535,25.46636199951172,30.01849937438965
41,2,892,24.600000381469727,20.087276458740234,25.161975860595703,30.245960235595703
41,2,893,24.799999237060547,20.17211151123047,24.933319091796875,30.93625259399414
41,2,894,22.700000762939453,20.038761138916016,24.63458824157715,31.012454986572266
41,2,895,20.899999618530273,20.237091064453125,24.93936538696289,30.944622039794922
41,2,896,18.5,19.544485092163086,24.772958755493164,29.52634620666504
41,2,897,16.600000381469727,18.43548583984375,24.288976669311523,29.414762496948242
41,2,898,16.5,18.087928771972656,24.089452743530273,29.208065032958984
41,2,899,20.200000762939453,18.60661506652832,24.29276466369629,29.73650360107422
41,2,900,22.200000762939453,18.843061447143555,24.124292373657227,30.964313507080078
41,2,901,22.899999618530273,19.02167320251465,24.43830108642578,31.06659698486328
41,2,902,22.200000762939453,18.900880813598633,24.417905807495117,30.198423385620117
41,2,903,20.0,19.491668701171875,23.970439910888672,29.35175132751465
