seed,target_index,lead,time_index,truth,stdk_q05,stdk_q50,stdk_q95,qconv_q05,qconv_q50,qconv_q95
41,0,1,496,-0.6697542667388916,-0.6705289483070374,-0.16385889053344727,0.5815929174423218,-0.5529325604438782,0.14897744357585907,1.1078487634658813
41,0,2,497,-0.4212431311607361,-0.685140073299408,-0.18259654939174652,0.5663083791732788,-0.5720438361167908,0.2649514675140381,1.1676528453826904
41,0,3,498,-0.4399983882904053,-0.6925230026245117,-0.19117310643196106,0.5608022212982178,-0.5183634757995605,0.31935805082321167,1.159867525100708
41,0,4,499,-0.7533544301986694,-0.7473899722099304,-0.24427084624767303,0.5103127360343933,-0.4243003726005554,0.41481268405914307,1.209272861480713
41,0,5,500,-0.5526423454284668,-0.7845845222473145,-0.2761439085006714,0.48080915212631226,-0.475991427898407,0.3087916374206543,1.1803255081176758
41,1,1,496,-0.7838003039360046,-1.5017846822738647,-0.9978328347206116,-0.2542644143104553,-1.7328623533248901,-1.100034475326538,-0.20381641387939453
41,1,2,497,-0.9655381441116333,-1.5643887519836426,-1.0635192394256592,-0.31693369150161743,-1.6401028633117676,-1.040518879890442,-0.13906395435333252
41,1,3,498,-0.633173406124115,-1.6431849002838135,-1.1425464153289795,-0.39317166805267334,-1.4932045936584473,-0.883384644985199,-0.0022698044776916504
41,1,4,499,-0.7860773801803589,-1.7207574844360352,-1.216517686843872,-0.46461600065231323,-1.452012300491333,-0.7687660455703735,0.02100294828414917
41,1,5,500,-0.7598663568496704,-1.7957069873809814,-1.2841925621032715,-0.5300165414810181,-1.4830513000488281,-0.8289674520492554,0.04189169406890869
41,2,1,496,-0.6339322924613953,-0.9100399017333984,-0.35511091351509094,0.3696230947971344,-1.198026418685913,-0.32157960534095764,0.368346244096756
41,2,2,497,-0.5530821681022644,-0.8351588845252991,-0.28363484144210815,0.44368189573287964,-1.3429927825927734,-0.5083104968070984,0.19500839710235596
41,2,3,498,-0.15030840039253235,-0.8346885442733765,-0.2830234467983246,0.44677940011024475,-1.3767333030700684,-0.5661771893501282,0.21304500102996826
41,2,4,499,-0.40319740772247314,-0.8424195051193237,-0.28664714097976685,0.44535958766937256,-1.447326421737671,-0.6040869355201721,0.17761462926864624
41,2,5,500,-0.46498432755470276,-0.8577930331230164,-0.2939634323120117,0.4400686025619507,-1.498412013053894,-0.63707035779953,0.17690974473953247
41,3,1,496,0.23013873398303986,-0.6532184481620789,-0.08415351808071136,0.5938419103622437,-0.41193175315856934,0.4415191411972046,1.3630964756011963
41,3,2,497,0.21062083542346954,-0.7257164716720581,-0.15859803557395935,0.5223919153213501,-0.2966080605983734,0.3809853494167328,1.3197535276412964
41,3,3,498,1.0631916522979736,-0.869091272354126,-0.3013814091682434,0.3824889063835144,-0.18539953231811523,0.523821234703064,1.383641004562378
41,3,4,499,0.23617559671401978,-0.9784114360809326,-0.40727725625038147,0.27928271889686584,-0.4070338010787964,0.42203062772750854,1.274512767791748
41,3,5,500,0.8970106840133667,-1.0651042461395264,-0.48698288202285767,0.20188796520233154,-0.5117579102516174,0.27163976430892944,1.1234984397888184
41,4,1,496,0.2253907322883606,-0.2784985601902008,0.2533465325832367,0.9782700538635254,-0.6200025677680969,0.17566972970962524,0.8771790862083435
41,4,2,497,0.3261488676071167,-0.30544808506965637,0.2231166660785675,0.9508099555969238,-0.6755613088607788,0.20286959409713745,0.9125134348869324
41,4,3,498,0.2398546040058136,-0.3367965519428253,0.1908879578113556,0.9218364953994751,-0.6101243495941162,0.2403915375471115,0.9427556395530701
41,4,4,499,0.03422759473323822,-0.3650188744068146,0.16540423035621643,0.8992791175842285,-0.5495929718017578,0.2710457742214203,0.9950789213180542
41,4,5,500,0.3639217019081116,-0.3761988878250122,0.16058878600597382,0.8957815766334534,-0.4869546890258789,0.31851905584335327,1.0214669704437256
41,5,1,496,-0.7688862681388855,-1.210867166519165,-0.6495801210403442,0.071524977684021,-1.3005142211914062,-0.6136030554771423,0.1888500452041626
41,5,2,497,-0.8929081559181213,-1.2856173515319824,-0.7283865809440613,-0.005240201950073242,-1.183119773864746,-0.5426083207130432,0.23513031005859375
41,5,3,498,-0.6190394163131714,-1.3396258354187012,-0.7830962538719177,-0.05819511413574219,-1.2630269527435303,-0.6142711043357849,0.19096076488494873
41,5,4,499,-0.5452433824539185,-1.3597899675369263,-0.800284206867218,-0.07410544157028198,-1.1494438648223877,-0.5550847053527832,0.2394581437110901
41,5,5,500,0.17907769978046417,-1.3497750759124756,-0.7837026715278625,-0.0573195219039917,-1.238464593887329,-0.5375580787658691,0.2416631579399109
41,6,1,496,-0.02514827251434326,-0.04933446645736694,0.5582161545753479,1.2864878177642822,0.07225573062896729,0.8820812106132507,1.8384065628051758
41,6,2,497,0.6735158562660217,-0.1231621503829956,0.4812079668045044,1.2115931510925293,-0.09003674983978271,0.7275670170783997,1.8781440258026123
41,6,3,498,0.2509346008300781,-0.15303218364715576,0.45187079906463623,1.1843116283416748,0.06408226490020752,0.7757689952850342,1.8092453479766846
41,6,4,499,-0.19113540649414062,-0.1582605242729187,0.45145314931869507,1.1853141784667969,0.16943562030792236,0.9097040891647339,1.9054391384124756
41,6,5,500,0.9091757535934448,-0.14483106136322021,0.47363168001174927,1.2082082033157349,0.06176924705505371,0.8606793880462646,1.9254658222198486
41,7,1,496,0.1731487363576889,-1.1805893182754517,-0.5383341908454895,0.20712053775787354,-0.9548302888870239,-0.26116493344306946,0.6152849197387695
41,7,2,497,-0.00894215703010559,-1.2681280374526978,-0.6277455687522888,0.1206623911857605,-0.9101163744926453,-0.2202206254005432,0.5630905628204346
41,7,3,498,0.09722959995269775,-1.3542487621307373,-0.7122979760169983,0.03860539197921753,-1.0150883197784424,-0.21531368792057037,0.5579299330711365
41,7,4,499,-0.34593039751052856,-1.4545661211013794,-0.8071883320808411,-0.054035484790802,-1.014435052871704,-0.18503890931606293,0.6007976531982422
